Amount,TranNo,Status,Department,Fiscal Year,Month,RedFlag
12.467270234848005,C023134,Paid_Reconciled,R&D,2014,Jan,0
0.4551588548105772,C486034,Paid_Reconciled,Purchasing,2015,Sep,0
1.0580520960860051,C432586,Paid_Reconciled,Marketing,2018,May,0
3.328995359102567,C901026,Paid_UnReconciled,Finance,2012,May,0
1.7770773989933162,C328289,Paid_Reconciled,Finance,2012,Oct,0
0.11347528629820705,E876463,Paid_Reconciled,Marketing,2018,May,0
0.13012592648319227,C525492,Paid_Reconciled,Finance,2014,Jan,0
6.957715102186269,C579803,Paid_Reconciled,Marketing,2013,Apr,0
4.22257546639902,C422593,Paid_Reconciled,Marketing,2017,May,0
43.42413371442106,C194584,Paid_UnReconciled,Finance,2019,Apr,0
36.398328992120895,A505289,Paid_Reconciled,Marketing,2018,Apr,0
2.530686477276476,C876217,Paid_UnReconciled,Purchasing,2014,Jan,0
5.451596341757337,E288158,Paid_Reconciled,Purchasing,2015,Sep,0
70.26489070060984,E061994,Paid_UnReconciled,Purchasing,2011,Feb,1
1599.5483533432368,C560169,Paid_UnReconciled,Finance,2015,Aug,1
1.1614787867721998,C817105,Paid_UnReconciled,Purchasing,2018,Aug,0
11.885565040510526,C476755,Paid_Reconciled,Finance,2017,Apr,0
13.086409040014,E335726,Paid_Reconciled,R&D,2011,Aug,0
21.369041770353846,A818773,Paid_UnReconciled,R&D,2015,Jun,0
0.31063476110127564,C141146,Paid_UnReconciled,R&D,2018,Jan,0
3.3556584009813974,E380954,Paid_Reconciled,Production,2012,Apr,0
2.140470211954084,E453358,Paid_Reconciled,Finance,2017,Aug,0
22.156267234847004,C641107,Paid_Reconciled,Finance,2013,Apr,0
0.791029696416332,:,Paid_UnReconciled,Purchasing,2016,Sep,0
151.3348287194061,C805852,Paid_UnReconciled,Marketing,2014,Aug,1
1.0224137650926193,E977677,Paid_Reconciled,R&D,2015,Nov,0
0.040415567013301,C320147,Paid_Reconciled,Purchasing,2014,Sep,0
7.825946900244843,C156772,Paid_UnReconciled,Finance,2019,Apr,0
3.6136035346377477,E908822,Paid_Reconciled,Finance,2018,Apr,0
6.505972233373637,C529606,Paid_Reconciled,Finance,:,Aug,0
2.968845717305337,E524327,Paid_Reconciled,Finance,2010,Apr,0
0.8460743446295853,E761698,Paid_Reconciled,Finance,2010,Jun,0
0.3767469630746701,C326197,Paid_UnReconciled,R&D,2015,:,0
16.220062025752757,C350403,Paid_Reconciled,Purchasing,2012,Apr,0
33.54745055808402,E505968,Paid_Reconciled,Purchasing,2016,Apr,0
32.696441410481484,C893015,Paid_Reconciled,Finance,2014,Apr,0
0.20247233780481694,A348537,Paid_Reconciled,Finance,2018,Sep,0
100.95088433735555,C294574,Paid_Reconciled,Marketing,:,Sep,1
0.283135812410712,C551366,Paid_Reconciled,Finance,2011,Apr,0
1.4244514446789713,C225298,Paid_Reconciled,Purchasing,2018,Apr,0
15.129659967184988,C786053,Paid_Reconciled,Finance,2013,Mar,0
6.088361583137737,E258426,Paid_UnReconciled,Finance,2010,Oct,0
0.908279972246145,C045282,Paid_Reconciled,Purchasing,2015,May,0
0.4610602939311357,C462252,Paid_Reconciled,Finance,2010,Apr,0
3.6070853160080754,C770984,Paid_UnReconciled,Production,2017,Apr,0
0.12168736837922589,C502349,Paid_Reconciled,Purchasing,2011,Apr,0
1.0845598786642734,C586755,Paid_UnReconciled,Finance,2011,Feb,0
5.141098503011449,A989205,Paid_Reconciled,Finance,2017,May,0
2.2782159423492154,C187330,Paid_Reconciled,Purchasing,2012,May,0
11.10186246763475,C241947,Paid_UnReconciled,Finance,2011,Jan,0
